course_id,year
927442,2016
972126,2016
1031696,2016
742106,2016
355374,2014
529828,2015
538560,2015
994666,2016
389108,2015
38456,2013
282050,2014
607800,2015
832410,2016
779000,2016
180372,2014
429952,2015
172898,2014
180360,2014
713416,2016
407658,2015
572992,2015
192724,2014
469526,2015
854764,2016
754524,2016
851288,2016
363058,2014
700080,2016
637452,2015
360916,2014
375594,2014
703770,2016
602032,2015
475032,2015
895936,2016
399170,2015
593460,2015
774174,2016
294292,2014
189160,2014
621014,2015
673750,2015
390510,2015
282044,2014
118836,2013
849632,2016
904240,2016
304424,2014
591880,2015
155616,2014
65802,2013
229360,2014
159388,2014
172298,2014
570996,2015
944594,2016
81064,2013
364034,2014
119276,2013
616564,2015
596026,2015
499504,2015
903326,2016
412108,2015
865630,2016
660846,2015
829206,2016
385604,2016
302468,2014
331600,2014
557436,2015
389834,2016
304414,2014
55136,2013
619792,2016
505144,2015
688244,2015
642060,2016
114518,2014
666910,2015
158830,2014
577256,2015
192576,2014
662450,2015
312834,2014
44319,2013
174800,2014
79364,2013
917172,2016
531710,2015
193916,2014
74016,2013
834606,2016
629060,2015
698278,2016
975414,2016
112296,2013
536166,2015
718338,2016
996612,2016
941120,2016
498488,2015
364566,2014
600316,2015
239416,2014
722274,2016
201942,2014
355798,2014
702800,2016
425126,2015
1013838,2016
867682,2016
239268,2015
361286,2014
617976,2015
196620,2014
667332,2016
639126,2015
53211,2013
212952,2014
1016420,2016
881778,2016
173462,2014
648174,2016
517466,2015
304422,2014
177214,2014
73898,2013
671548,2016
504620,2015
98706,2013
364428,2014
560472,2015
682986,2015
270844,2014
507600,2015
363078,2014
707688,2016
544176,2015
392478,2015
613422,2015
316750,2015
884658,2016
735550,2016
770486,2016
543212,2015
804298,2016
707054,2015
964828,2016
298522,2014
255170,2014
40670,2013
737832,2016
240256,2014
931626,2016
663022,2016
202290,2014
690546,2015
560218,2015
253810,2014
420926,2015
382824,2015
73046,2013
73860,2013
191588,2014
665866,2015
73068,2013
252950,2014
760990,2016
874312,2016
373716,2014
836926,2016
595258,2016
611420,2015
941990,2016
256200,2014
207166,2014
390472,2015
575476,2015
460652,2015
157336,2014
65110,2013
835212,2016
882276,2016
971110,2016
414744,2015
537286,2015
929526,2016
631276,2015
86558,2013
615600,2015
799434,2016
674354,2015
548764,2015
410576,2015
501384,2015
59725,2013
47504,2013
304426,2014
581598,2015
328842,2014
541824,2015
103144,2013
937150,2016
975910,2016
42645,2013
355622,2015
514036,2015
45136,2013
371574,2014
915964,2016
412856,2015
42651,2013
294914,2015
219306,2014
652768,2015
42197,2013
936298,2016
885443,2016
585208,2015
386922,2015
1023650,2016
676764,2015
41145,2013
145220,2014
868686,2016
745110,2016
43778,2013
19653,2012
1013190,2016
824034,2016
370440,2014
312860,2014
168358,2014
721746,2016
885342,2016
811416,2016
35131,2013
570844,2015
189996,2014
716828,2016
702138,2016
130298,2014
709536,2016
706942,2016
297762,2014
614472,2015
463834,2015
934614,2016
430968,2015
305368,2014
179446,2014
443502,2015
414246,2015
571506,2016
638966,2016
757508,2016
180384,2014
812798,2016
364206,2014
742142,2016
895030,2016
516168,2015
612528,2015
597084,2015
544556,2015
953490,2016
221872,2014
662318,2015
73044,2013
714188,2016
548044,2015
498360,2015
425338,2015
164102,2014
902888,2016
245822,2014
729128,2016
773650,2016
466632,2015
466774,2015
442114,2015
781954,2016
902150,2016
167316,2014
1028656,2016
645890,2015
559328,2015
734280,2016
43291,2015
1034560,2016
871682,2016
1032648,2016
715476,2016
627332,2015
1035638,2016
