course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year,revenue
1224262,Introduction to Futures Trading and Live Trade Demonstration,https://www.udemy.com/introduction-to-futures-trading-and-live-trading-futures/,True,60,54,,6.0,Expert Level,0.716666667,Business Finance,2017,3240
1266148,Preparation of Consolidated Financial Statements (Basic),https://www.udemy.com/preparation-of-consolidated-financial-statements-basic/,False,0,965,0.0,18.0,Intermediate Level,1.5,Business Finance,2017,0
791422,Succeed in Bonds Even if You Don't Know Where to Start,https://www.udemy.com/succeed-in-bonds-even-if-you-dont-know-where-to-start/,True,200,1113,6.0,8.0,All Levels,1.0,Business Finance,2017,222600
791436,Succeed in Lotto Even if You Don't Know Where to Start!,https://www.udemy.com/succeed-in-lotto-even-if-you-dont-know-where-to-start/,True,20,1201,12.0,18.0,All Levels,1.5,Business Finance,2017,24020
1218552,Forex for Beginners: Easy Forex Trading for Beginners,https://www.udemy.com/forex-for-beginners-easy-forex-trading-for-beginners/,False,0,1780,32.0,9.0,Beginner Level,1.0,Business Finance,2017,0
1117834,Learn How To Trade Gold In 2017,https://www.udemy.com/learn-how-to-trade-gold-in-2017/,True,200,2,1.0,16.0,All Levels,1.0,Business Finance,2017,400
831940,Fundamentals of Accounting for Business Owners,https://www.udemy.com/fundamentals-of-accounting-for-business-owners/,True,20,217,0.0,47.0,Beginner Level,2.5,Business Finance,2017,4340
833770,Practical Financial Statement Analysis,https://www.udemy.com/practical-financial-statement-analysis/,True,75,22,5.0,45.0,All Levels,4.5,Business Finance,2017,1650
707224,Financial Statement Review 101:  How to Find Errors,https://www.udemy.com/financial-statement-review-101-how-to-find-errors/,True,30,5,2.0,15.0,Beginner Level,2.0,Business Finance,2017,150
1030976,The Complete Financial Statement Analysis Course,https://www.udemy.com/the-complete-financial-statement-analysis-course/,True,150,912,12.0,37.0,Beginner Level,3.0,Business Finance,2017,136800
